movie_id,movie_name,genre
124,L.A. Confidential,Crime
124,L.A. Confidential,Drama
124,L.A. Confidential,Mystery
124,L.A. Confidential,Thriller
125,In & Out,Comedy
126,The Fifth Element,Action
126,The Fifth Element,Adventure
126,The Fifth Element,Romance
126,The Fifth Element,Sci-Fi
127,Mouse Hunt,Comedy
127,Mouse Hunt,Family
128,The Saint,Action
128,The Saint,Adventure
128,The Saint,Romance
128,The Saint,Sci-Fi
128,The Saint,Thriller
129,The Devil's Advocate,Drama
129,The Devil's Advocate,Mystery
129,The Devil's Advocate,Thriller
130,Kiss the Girls,Crime
130,Kiss the Girls,Drama
130,Kiss the Girls,Mystery
130,Kiss the Girls,Thriller
131,Jungle 2 Jungle,Comedy
131,Jungle 2 Jungle,Family
132,Anastasia,Animation
132,Anastasia,Adventure
132,Anastasia,Drama
132,Anastasia,Family
132,Anastasia,Fantasy
132,Anastasia,Musical
132,Anastasia,Mystery
132,Anastasia,Romance
133,The Jackal,Action
133,The Jackal,Adventure
133,The Jackal,Crime
133,The Jackal,Thriller
134,Spawn,Action
134,Spawn,Horror
135,Starship Troopers,Action
135,Starship Troopers,Sci-Fi
135,Starship Troopers,War
136,Austin Powers: International Man of Mystery,Comedy
136,Austin Powers: International Man of Mystery,Crime
136,Austin Powers: International Man of Mystery,Sci-Fi
137,Breakdown,Crime
137,Breakdown,Drama
137,Breakdown,Mystery
137,Breakdown,Thriller
138,Absolute Power,Action
138,Absolute Power,Crime
138,Absolute Power,Drama
138,Absolute Power,Thriller
139,Volcano,Action
139,Volcano,Drama
139,Volcano,Sci-Fi
139,Volcano,Thriller
140,Speed 2: Cruise Control,Action
140,Speed 2: Cruise Control,Crime
140,Speed 2: Cruise Control,Romance
140,Speed 2: Cruise Control,Thriller
141,The Game,Drama
141,The Game,Mystery
141,The Game,Thriller
142,G.I. Jane,Action
142,G.I. Jane,Drama
143,Alien Resurrection,Action
143,Alien Resurrection,Horror
143,Alien Resurrection,Sci-Fi
144,The Full Monty,Comedy
144,The Full Monty,Drama
144,The Full Monty,Music
145,The Rainmaker (1997),Crime
145,The Rainmaker (1997),Drama
145,The Rainmaker (1997),Thriller
146,Return of the Jedi (Special Edition),Action
146,Return of the Jedi (Special Edition),Adventure
146,Return of the Jedi (Special Edition),Fantasy
146,Return of the Jedi (Special Edition),Sci-Fi
147,Bean,Comedy
147,Bean,Family
148,Cop Land,Crime
148,Cop Land,Drama
148,Cop Land,Thriller
149,Nothing to Lose,Action
149,Nothing to Lose,Adventure
149,Nothing to Lose,Comedy
149,Nothing to Lose,Crime
150,Amistad,Drama
150,Amistad,History
151,Saving Private Ryan,Action
151,Saving Private Ryan,Drama
151,Saving Private Ryan,War
152,Armageddon,Action
152,Armageddon,Adventure
152,Armageddon,Sci-Fi
152,Armageddon,Thriller
153,There's Something About Mary,Comedy
153,There's Something About Mary,Romance
154,A Bug's Life,Animation
154,A Bug's Life,Adventure
154,A Bug's Life,Comedy
154,A Bug's Life,Family
155,The Waterboy,Comedy
155,The Waterboy,Sport
156,Doctor Dolittle,Comedy
156,Doctor Dolittle,Family
156,Doctor Dolittle,Fantasy
157,Rush Hour,Action
157,Rush Hour,Comedy
157,Rush Hour,Crime
157,Rush Hour,Thriller
158,Deep Impact,Action
158,Deep Impact,Drama
158,Deep Impact,Sci-Fi
158,Deep Impact,Thriller
159,Godzilla,Action
159,Godzilla,Sci-Fi
159,Godzilla,Thriller
160,Patch Adams,Biography
160,Patch Adams,Comedy
160,Patch Adams,Drama
161,Lethal Weapon 4,Action
161,Lethal Weapon 4,Crime
161,Lethal Weapon 4,Thriller
162,The Truman Show,Drama
163,Mulan,Animation
163,Mulan,Adventure
163,Mulan,Family
163,Mulan,Musical
163,Mulan,War
164,You've Got Mail,Comedy
164,You've Got Mail,Drama
164,You've Got Mail,Romance
165,Enemy of the State,Action
165,Enemy of the State,Crime
165,Enemy of the State,Drama
165,Enemy of the State,Mystery
165,Enemy of the State,Thriller
166,The Prince of Egypt,Animation
166,The Prince of Egypt,Adventure
166,The Prince of Egypt,Biography
166,The Prince of Egypt,Drama
166,The Prince of Egypt,Family
166,The Prince of Egypt,Musical
167,The Rugrats Movie,Animation
167,The Rugrats Movie,Adventure
167,The Rugrats Movie,Comedy
167,The Rugrats Movie,Drama
167,The Rugrats Movie,Family
168,Shakespeare in Love,Comedy
168,Shakespeare in Love,Drama
168,Shakespeare in Love,Romance
169,The Mask of Zorro,Action
169,The Mask of Zorro,Adventure
169,The Mask of Zorro,Comedy
169,The Mask of Zorro,Romance
169,The Mask of Zorro,Thriller
169,The Mask of Zorro,Western
170,Stepmom,Comedy
170,Stepmom,Drama
171,Antz,Animation
171,Antz,Adventure
171,Antz,Comedy
171,Antz,Family
172,Everest (IMAX),Documentary
172,Everest (IMAX),Short
173,The X-Files,Mystery
173,The X-Files,Sci-Fi
173,The X-Files,Thriller
174,The Wedding Singer,Comedy
174,The Wedding Singer,Romance
175,City of Angels,Drama
175,City of Angels,Fantasy
175,City of Angels,Romance
176,The Horse Whisperer,Drama
176,The Horse Whisperer,Romance
