movie_id,movie_imdb_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice
30,468569,The Dark Knight,cast,4,Michael Caine,323,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/323.jpg,,,,,0
30,468569,The Dark Knight,cast,5,Maggie Gyllenhaal,350454,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/350454.jpg,,,,,0
31,988045,Sherlock Holmes,cast,1,Robert Downey Jr.,375,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/375.jpg,,,,,0
31,988045,Sherlock Holmes,cast,2,Jude Law,179,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/179.jpg,,,,,0
31,988045,Sherlock Holmes,cast,3,Rachel McAdams,1046097,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1046097.jpg,,,,,0
31,988045,Sherlock Holmes,cast,4,Mark Strong,835016,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/835016.jpg,,,,,0
31,988045,Sherlock Holmes,cast,5,Eddie Marsan,550371,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/550371.jpg,,,,,0
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,1,Zachary Levi,1157048,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1157048.jpg,,,,,1
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,2,David Cross,189144,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/189144.jpg,,,,,1
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,3,Jason Lee,5134,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/5134.jpg,,,,,1
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,4,Justin Long,519043,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/519043.jpg,,,,,1
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,5,Matthew Gray Gubler,1131557,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1131557.jpg,,,,,1
33,878804,The Blind Side,cast,1,Sandra Bullock,113,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/113.jpg,,,,,0
33,878804,The Blind Side,cast,2,Tim McGraw,5210,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/5210.jpg,,,,,0
33,878804,The Blind Side,cast,3,Quinton Aaron,2466842,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2466842.jpg,,,,,0
33,878804,The Blind Side,cast,4,Jae Head,2052567,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2052567.jpg,,,,,0
33,878804,The Blind Side,cast,5,Lily Collins,2934314,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2934314.jpg,,,,,0
34,796366,Star Trek,cast,1,Chris Pine,1517976,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1517976.jpg,,,,,0
34,796366,Star Trek,cast,2,Zachary Quinto,704270,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/704270.jpg,,,,,0
34,796366,Star Trek,cast,3,Leonard Nimoy,559,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/559.jpg,,,,,0
